tweet,label
«г»«—Ќ яд  »ёжб бж «Ё —ёд« Ўжб Ќн« н ѕн де«н е« .. ж«де«—ѕе »ён  »ёжб гж‘ Џ«н“ Ќѕ ёѕ«гн нћн» ”н— е« ..,sadness
Minawya9 ќб«’ геж ѕќб .. «Ёя”ж г«бе«‘ «ћ ѕе ждя » е«‘ «ћ  —Ќн» »не Ё жн —,joy
«н—«д  гжб ёд«е «бЌ—е ж»Џѕнд гЏ«я н «н—«д  —н г«»џн «гЌня гд «б«—÷ ќбнд« Ќ»«н» ж»б«‘ г‘«яб,anger
ѕе Ёнѕнж Ќн« н,joy
»нб ж я—ж” б«“г нбЏ»ж« џ’»« Џдег Ён «б”ж»—,joy
н«—»н ќ«нЁе гд «б«ќ »«— г—е.,fear
«д нёЏ Ён Ќх» «бЏёжб ё»б «бжћже..!,love
яб «г« «Ё Ќ «н ёд«е » –нЏ «б«жбнг»н«ѕ «б«ён «г—ня« ж «б’нд »н д«Ё”ж Џ «б–е» .. Ён яб «б«бЏ«» «бЁ—ѕне  ё—н»« ... гЁн‘ џн—яж жб« «не ????,surprise
»«ёнбн 12 ѕёнёе Ён «жб Ќбёе гд »б«я гн—ж— ж ќ«нЁе «ягбе« гд «бн Ќн’н— ”дѕ енб»,fear
Џб«Ѕ «»ж «бё«”г «д’«» ё»б «б«жбнг»н«ѕ ж бб«”Ё ќ”— «де«—ѕе бяд еж »—÷е »Ўб ж г‘ ед Ќ»Ў б« ??,sadness
‘ябе« яѕе гЁне«‘ джг жедёЏѕ д «»Џ «б«жбнг»н«ѕ бб’»Ќ.«ж џ«б»« «Ќд« »ёнд« «б’»Ќ,none
ќ«нЁе «’Ё ћд»я,fear
—»д« гЏ«ег «Ќ”д гд «н Ќѕ —»д« н жб«ег »н —Ќг ж  «дё–ж« «ЎЁ«б «б”—Ў«д,sympathy
:  «б’—ќн нЌЎг яедж не «б”н” «дн «б”н” «дн бг нж«ће «б”бЎе «бЁ«”ѕе!!!,anger
": «д ё«бе Џћн»е° Џёнб «бќ“Џбн гд г–нЏ »ёд«е «Ё«ё «б «»Џе ббг«бян «бн ж“н— ѕ«ќбне жя«бе (б«Џћ»° е–е ѕжбе гб‘н« )",anger
1424   н «ббе ?? я«д «ббе Ён Џждег .. ж«ббе ’ж—е гжћЏе б«»Џѕ Ќѕ ??????,sympathy
«бг« ‘ «бћ«н ёѕ«г «б”жнѕ ж«Ќѕе гд «ббн » д«Ё” Џбн –е»не Ё «б«жбнг»н«ѕ нЏдн Џбн «бгд ќ» «б”б«дя не ??,surprise
«д« »ён  ќ«нЁе гд —»д« бѕ—ће «д ќ«нЁе «’бн    »Џѕ гяд  »Ёя— ’Ќ«»н »«б’б«е ж—»д« »ён  «д« «ббн »ќ«Ё где ж»»Џѕ .,fear
ћ«—нѕж г‘ гѕ—» ѕе » «Џ »Ўнќ Ё÷Ќ д« бне  ‘г  Ёнд« «б“гбя«жне «ббн ег« «’б« г Џжѕнд Џ «бќ”«—е бн№№№№№№№е я№№№№№№№№ѕ« н««ќн .. ѕн Џг—е« г«Ќ’б ,anger
г«‘«Ѕ «ббе «бгЌгѕн яж— е дўнЁе.. ж«ббе “н ‘нЁж г ж«“д ѕЁ«Џ жећжг ‘∆ н»—ѕ «бёб»,joy
»” »—ѕе «ббег жЁё »«ён «жб«ѕд« Ён «б«н«г «ббн ћ«не Ён «б«жбнг»н«ѕ ж«—“ёег «б–е» б« «бЁ÷е жб« «б»—жд“,none
«не ѕе «“«н ѕе! —ен»..,surprise
»«н гж—«н «»д «бћ“ге ѕе н«ќѕ –е»не «б”де ѕн ж–е»не «б«жбнг»н«ѕ «ббн Ё«   ??,none
ж“«—е «б ћ«—е  ѕЏж «б‘—я«  «бг «Ћ—е »«— Ё«Џ «б»д“нд б ёѕнг «ѕб е« г‘ѕѕе Џбн ÷—ж—е  Ў»нё «бё«джд Џбн «бгќ«бЁнд «б–нд н—ЁЏжд «б«”Џ«—»‘яб г’ЎдЏ,none
: «д х Ќ«ће .. бж  ћндну »” г—е њ «я Ёнх Ён ћнш я Џд яб Ќ«ће,love
«ћгб г«ёнб »«бЌ» «»Ќ— Ён Ќ» «б’Ќ«»е ббд»н ? ж«ёЎЁ гд »” «дег Ќ н  я Ён ж«‘—» гд де—ег Ќ н  — жн Ёед«я «бќ«бн гд «б‘ж«∆».,love
« «ќ—  ёжн н«’б«Ќ «б«жбнг»н«ѕ «бћ«не ё—»   ќб’ н«ќ”«««««—е н«’б«Ќ н«ќ”«—е??,sadness
Ћ№№«д№№№№№н гн№№№ѕ«бн№№№№№е г’№№№№№№—н№№№№№№№е ( гЌгѕ «не«») »—жд“не —ЁЏ «Ћё«б  г’— Ён «б«жбнг»н«ѕ  —нж ѕн ћ«дн—ж 2016,none
н« «жб .... Ќ» ??,love
г« «ћгб «д   д«“б Џд яб гг Џ«  «бЌн«е ...... ж  ћб” ”«я «  жЌнѕ« г «гб« гдў— «б”г«Ѕ Ён еѕжЅ  «г   нжгн«  ћнгн,joy
": «ббешг ќЁЁ Џд ћѕ н яхб –—е жћЏ  —еёе« ж«д“б Џбне« бц х“нб »е«  Џ»я н« —» «бЏ«бгнд° «ббег «‘Ёе« жќЁЁ Џде« г—«—е «б«Е",sympathy
«бжбне «бг–нЏе ќ«нЁе   ябг ж ќ«нЁе гд —«н «бћгеж— Ќѕ н—жЌе« н« ћг«Џе,fear
"«бћн‘ ж«ббћ«д «б‘Џ»не Ён ћн“«д н”Ў—жд «бгб«Ќг я«д «ббе Ён Џждег ѕЏж«  «б‘Џ» «бнгдн жяб г” ÷ЏЁн «бЏ«бг  д«’—яг н« ќн— —ћ«б «б«—÷ ж«’ѕёе«°°",sympathy
б« »” ж«÷Ќ «д «бЌяжге г—Џж»е гд 11 11  Џжнг ћдне ж —ЁЏ «бѕЏг Џд «бгЌ—жё«  Ён нжг ж«Ќѕ .. ѕн “н «ббн » ёжб...,fear
г‘ябе «џб» «б‘Џ» ќ«нЁ «–« Ё÷Ќ «бЁ”«ѕ —«Ќ нћн Ќ—» жѕг«— ж”—ёе Ёеж г÷Ў— нЎ»б ббЁ”«ѕ ж«б”—ёе «дЎё »«бЌё ” »ён »«бё»— жЌнѕ  “н«ѕе —ж« » «бёЎ—ннд,fear
» ÷Ќя жЏндне« ябе« ѕгжжжжЏ дЏг н« ”«ѕе «д« «Џ‘ё ‘н—нд нЌнн  ShereenYehia   гягбнд гЏ ‘н—нд  StaracArabia,joy
: Џ‘ён бя б« нд ен ??,love
ѕе «Ќд« г»дбг”‘ «бяж—е !!!,surprise
«бд—жнћ  еѕн  Ёдбдѕ« ћ»бр« Ён Џнѕ «” ёб«бе«  †  «”«б «яЋ—,joy
«б»ж— —няне гждня« »жнџ  ’дЏ «б «—нќ »  жнће« »«б–е»не «б«жбн б»бѕе« Ён «б«жбнг»н«ѕ Џбн Ќ”«» «дћбня ян—»— 6 1 ж 6 4 .  »—«Ѕ,none
MOSAAD  г—Џ» «»д г д«яе??????,fear
днћн—н« ћ«бѕе «бћ“«∆— !!!,surprise
20 ”де жня”» »Ўб «бЏ«бг 5 г—«  ж «б«жбнг»н«ѕ г— нд н« ћг«Џе ж«ббе г»—жя б жд” «бЁ г—е  TUN,joy
н«г«б Ё—ё« «бЏнд гнѕ«бне жЌѕе ббЏ—» Ён «б«жбнг»н«ѕ б« ж«бн ћ«н»е« ж«Ќѕ гћд”  Rio2016,none
гЏдѕн‘ «н «»д ж”ќе нќбндн «Ё—Ќ «ж «Ё—Ќ Ќѕ жбж »«н”Ў Ў—нёе.,anger
—»д« н” — «д« ќ«нЁе гд «бгѕ»Ќе ѕн »ћѕ ж“«—е «б’Ќе г‘ е ёѕ—  ё«жг я н— ќ’ж’« «д г»ё«‘ Ён гдЎё ббгё«жге яѕе,fear
"»«»« Ё—Ќ«д «д «б“г«бя я”»«д ж«д« г‘ Џ«—Ёе «Ё—Ќ Џб‘«д еж Ё—Ќ«д жб« «“Џб Џб‘«д «б“г«бя я”»«д жЌ«”е »«бн еж Џёжё «бж«бѕнд ѕе° енћнбн «дЁ’«г ????????",surprise
н« ћг«Џе ябе н—жЌ Џ«б«д” ћ—«г н«б« :D «д‘—ж Ќ”«» ‘н—нд нЌнн ?  ShereenYehia  гягбнд гЏ ‘н—нд,joy
«б«ебн ?,surprise
ћж«н« ќжЁ гд ябге «бў—жЁ  »ён Ў—нён ..,fear
«ббег «џЁ— б«џбн гд џ«»ж« Џд «бѕдн« ж «—Ќгег ж «Ќ‘—ег Ён “г—е «бг Ќ«»нд Ёня ж «ћЏб гб ё«дн »ег Ён «бЁ—ѕж” «б«Џбн н« —».  Ќж «д «б гнгн,sympathy
Ў» д џн— «“«н »”....њњњњ????,surprise
яж”жЁж  Ќ’ѕ «жб гнѕ«бне –е»не бе« Ён «б «—нќ Ён «жб г‘«—яе бне« Ён «б«жбнг»н«ѕ Џд Ў—нё г«нбндѕ« «ббн ћ«»  –е»не 56 яћг ћжѕж,none
Џдѕд« 12 гбЏ» гд «бб » ёжбе ѕ« .. жЏдѕд« »б«нн” н‘д жѕн гЁ«ћ«е «б«жбнг»н«ѕ Џдѕд« ж»”,surprise
«д« г»”жЎ Ё‘ќ бб»д нд ж «ббе » ћ—» ег Ён «б«жбнг»н«ѕ ж » ‘ћнЏ «бћгеж— бнег ед«я,joy
": б«  ” ЎнЏ «д  ” ёнг »Ќн«е г—нЌе дЁ”н«р ж«д   ‘«еѕ  бя «бг’«∆» «б н нЏн‘е« «еб ° Ќ”»д« «ббе ждЏг «бжянб° «ббег «—ЁЏ ЏдегЕ",sympathy
«не «бЁя—е «дд« я»ЏЋе ћгеж—не г’— «бЏ—»не жен ѕ«ќбе Ён «Ё  «Ќне «б«жбнг»н«ѕ дяжд —«ЁЏнд Џбг «б”Џжѕне !!,surprise
»ёжб б«»жн« Џ«н“ Џ—»не »2 гбнжд ћдне .. ё«б ябге џ—н»е «жн,surprise
:  «е«бн «б—жн” нд«‘ѕжд «бгбя Ён жёЁ «“«бе «бЌн »ѕЏжн «д «бЌн Џ‘ж«∆н . ћгнЏ «б«—«÷н Ён Ќн «б—жн” Џбне« ’яжя гд ж“«—е «бЏЕ,anger
б« Ќжб жб« ёже «б« »«ббе —»д« н’»—ег ????,sympathy
бн‘ ЎбЏ ќнг” —жѕ—нџ“!!! нЏдн б« »«б—”гн«  д‘жЁе жб« »«бжѕн«  !!!  «яЋ— б«Џ» гўбжг ‘Ё е Ён —н«б гѕ—нѕ !!!,anger
ббЌднд »ж’бе б«  ‘н— «б« «бня !!  »ж’бе  «д«  «д ,love
Џ«ж“нд  дгне »‘—не »ћѕ г‘ е“«— ж »ж“н нЁ «ндн—ћн гѕе‘е ж г‘ fake .. « Ё—ћж« Џ «б«жбнг»н«ѕ...,joy
«д« Ўжб Џг—н »Ќ» «б—н«÷е Џ«ге «н бЏ»е ж «н Ќ«ће ж »Ќ» « «»Џ «б«жбнг»н«ѕ ж Ўжб Џг—н г‘ Ё«—ё гЏ«н« гнд ня”» ж г‘ Ё«—ё гЏ«н« «бѕжб «’б«,none
ж«бёб»х г бешЁсЇ бдЏнгт ”—гѕн??,love
Ќбгя н«Џг— н«бЎЁн Ќёнёе ... ж«”г «б«ебн г«бн «бяжд ... Ќбгя »ня»— яб ѕёнёе .‘жЁ »ёнд« я«г гбнжд,sympathy
: «ббе еж «б–н нгдЌ бд« «Ќ»«∆д«. б« нгяд «д нжћѕ гд ќб«б д”н«д «ббе. «жб∆я «б–нд Ёёѕж« Ќ»ег бц№ «ббе бн” бег гЏдн ЁнЕ,love
”б«ге ёб»я,joy
«бќ»— »нёжб «д Ёне »д  »—«“нбне » Џб» џЎ” Ў—ѕже« гд «б«жбнг»н«ѕ Џ‘«д д«г  гЏ б«Џ»  ћѕнЁ »—«“нбн Ё «ж÷ е Ё «бё—не «б«жбнг»не,none
ж«бжб«Ѕ бя ”нѕн «б”бЎ«д ё«»ж” ЌЁўе «ббе жг Џе »гжЁж— гд «б’Ќе ж«бЏ«Ёне ж«бЏг— «бгѕнѕ.??,love
kuw      г‘яж— ж÷«Ќ Џ«бгжёЏ «бгƒЋ— ...«ббе няЋ— гд «гЋ«бя????????????????,love
«дн «хЌ»яц Џдѕг«  »янду ж«Ќ»хш жћеяц џ«∆г«р жЌ“нд«   »Џ÷ «бд”«Ѕ жћжеед ћгнбес ж ’н—х «ћгбу Џдѕг« н»янд,sadness
: ќ«нЁ гЏ «б«н«г  д”н «ббн »нд« ёж«г :)!,fear
«бяе—»«Ѕ  ” г— Ён гЏ«ё»е «бгж«Ўднд Ён ’нЁ «б—н«÷...,anger
—» яд б«ќж«дд« Ён ж“ѕег ’»—«р жЋ»« «р жЏбня »«Џѕ«Ѕ «бѕнд «ћгЏнд . «ббег ёѕ Ў«б бнб «бў«бгнд Ё«—д« Ёнег Џћ«∆» ёѕ— я .,sympathy
558: «ќ — я Ќ»«р бёб»н Ёб«  яд »џн«»я бе жћЏ«р яд  жг«“б  бёб»н Џ‘ё«р Ё—Ёё«р »ёб»т Џ‘ёя ..,love
«”Џѕдн Ќўн »”г«Џ гЏбё «бднб бб—н«÷е б—ЁЏ «б«Ћё«б Ён «б«жбнг»н«ѕ..«Ќ«,none
ќ«б е« ’«Ќ» н ?? —»д« н’»—ег жн—»Ў Џбн ёбж»ег жнд ёг гд «бЁћ—е ѕжб,sympathy
«б”ж—ннд «ббе н—Ќгег »—Ќг е   —«ћЁ «нѕндн гд «б»—ѕ жёжб,sympathy
"ќ«нЁ нЎжб «б»Џѕ ° ж ”ћ гдн жн«ќ– гя«дя ‘ќ’ геж» н”шж«я .",fear
ѕ« «бде«—ѕе нжг г’— ж«бЏ—» Ё «б«жбнг»н«ѕ »ён н«—» ѕ«нг« Ё—Ќ«днд ??????,joy
ед« ‘ќ’ ќ«нЁ нЁ Ќ «бгжёЏ жн‘жЁ џн«»« е ??.,fear
alnssr  ё«∆ѕ гЌдя –ж ќбё Џ«бн гЌ»ж». гд «б «бћгнЏ жн” «еб ”Џ«ѕе «ббж«Ѕ ћг«б «бќ‘—гн яб Ќ» ж ёѕн— ж«Ќ —«г,love
жх «дъ —«н хя ббг—еш «б«бЁх бдш   џн—  цбя «бд»÷еу «б нъ «‘Џх— »ех« Ќндъ «—у«я??  «б«жб,love
"бн” ед«я —ћб н” Ќё «д  »ян гд «ћбе °жб«  ’ѕён «де Ќ“нд бЁ—«ёя° Ё ѕ«∆г« Џдѕ яб ‘—ён »ѕнб ! д“«— ё»«дн",sadness
KIDS: нЏћ“ «бб”«д Џд ж’Ё Ќ«б  «ЎЁ«б ”ж—н« «ббег «дег гџбж»жд Ё«д’—ег ??  «ЎЁ«б ”ж—не  ”ж—не  н«—»  ’ж—е  гƒбге  Ќг’  «бЋж—е Е,sympathy
Ёў гЌгѕ «ўе«—ќ«д:03452498306 03002070292,anger
?????? «д« ќ«нЁе «ѕќб  жн — гж »” Ќ”«»я,fear
: «б”  » ёжб ббё«÷н «‘жЁе н« »не 3 Ћж«дн «»дн гЏгб‘ Ќ«ће . ќѕж« Џбн« «ё—«—  “б,sadness
«бё”же б« яжд ѕ«∆г«р Џдж«д ббёбж» «бгн е Ёу »Џ÷ «бёбж»  д»÷ »«бћг«б ж«бЌ» бяде«  ё”ж б«де« ќ«∆Ёе гд «Џ«ѕе  ћ—»е гƒбге,fear
"‘ќ’ «д«дн жб« нг  »Џ—«ёе «џб» «ћн«б «—”д«б ° ед—н ненд «—”д«б »№ яб«ге ° жЁндћ— ненд «—”д«б »№ «ЁЏ«бе гƒќ—«р ..",anger
«гхн ёѕ«г Ќ”шд џг«“« е« «д« гџбж» «г—н.,love
Ќћ«“н Ўжнб «жн «неее ѕ««««,surprise
"џн— г” џ—» гд Ўн—«д «б«г«—«  ° –жё жќѕге гг «“е ж Џжн÷ «бг ÷—— ж”—Џе «бќѕге ....«бн «б«г«г",joy
бж  ”«б Џнждн Ќѕжѕ «б гдн .. ё«б  бён жћея жћб”е ё»«бя??  «Ќ»я,love
1988massacre дў«г «н—«д «” »ѕ«ѕн ѕ—ће «жбн б«»ѕ «д нж«ће »ёже жџ÷»,anger
ен  «бЏбжёне  ѕќб  «б«жбнг»н«ѕ жб« б”е .. г« д»ѕ« «Ќд« ждЏгб « Ќ«ѕ ббЏ»е!  ѕе»  ѕе»  ѕе»,none
гЏбжг нд Џбн «бг«‘н: г—ж«д —ћ» џ«б»« г‘ гягб »Џѕ «б«жбнг»н«ѕ (« Ќ«ѕ «бнѕ е«н џн— Ён «я ж»—)  Џбнё «б«гб Џбн «б «еб ббѕж— «бЋ«дн ”–«ће,none
 ёжб  Ё «е  жЁн  «гн «Ћд«Ѕ жб«ѕ н Ё«ќ–  «ќ—  дЁ” гд «дЁ«”е«  «гбже ћнѕ«  гƒбге  бЌѕ,sadness
«дн Џ—Ё х гд «бд”«Ѕц ё»«∆б«р бядъ я—”гяц бг  ћѕ «бж«дн <3 ~,love
«б«—ћд нд ќ—ћ  гд гд«Ё”«  я—е «бёѕг Ён «б«жбнг»н«ѕ »Џѕ г« « Џ«ѕб  гЏ «бедѕж—«”.. «бедѕж—«” « «еб  »Ё—ё «б«еѕ«Ё  Football,none
я”г —н«б гѕ—нѕ н«Џг :D,anger
"«–« ёб   «Ќ»я  Ё«Ќ —г е–« «бгнЋ«ё° ж«Ќгб е–е «б«г«де° ж«’ѕё Ён е–е «б »Џе° ж«жЁ »е–« «бЏёѕ.",love
«д ж« «» ѕн ж«  “«нѕж« Џбн «Ќгѕ “жнб !!! «д ж «не !! ’—«’н— њ гЁн‘ «Ќ”«”,anger
«бд«” «ббн ÷џЎег Џ«бн ѕжб —»д« н жб«ег жќ’ж’« «ббн н»÷«нёж« гд «ёб Ќ«ће,sympathy
":  гду  Џбг «б«я Ё«Ѕ »у ‘ќъ’ ж«Ќѕ °Џ—Ё гЏшдн  «бЌс» .",love
10 ж«Џбгж« н« «Ќ—«—  «бёЎнЁ »«дд« гЏяг ёб»« жё«б»«  ёбж»д« гЏяг ж”нжЁд« г”бжбе гЏяг   Џеѕ«р бд  яждж« Ён «бгж«ћее жЕ,sympathy
Copied  Џ«гб дЁ”е гд     »де«    .. «‘гЏдн     »де«    њ  Џг—я Ёя—  «не еж «б”— ж—« ћгбе     Џ«гб дЁ”я гд »де«     њ!! «б”»» еж...,surprise
: “н «де«—ѕе гд 15 ”де «б«ебн Ё‘ќ —н«б гѕ—нѕ Ён ” «ѕ «бё«е—е.,joy
е Ё‘б «б«жбнг»н«ѕ ѕн ж«÷Ќе нЏдн,none
«ббе н”бгя «д« г—е ќ«нЁе жгж Џ«—Ёе янЁ «»ѕ«....«—ћжя яждн гЏ«н,fear
l banna:   еж »—÷ж ! »—÷ж ! .... «д н яг«д »нЌ’б гЏ«ян «бЌ«ћ«  ѕн ...!! н«”»Ќ«д «ббе??,surprise
б« г‘ гЏёжжжжб еееееееееее!!! ж«ж. Ў» гнд енѕЁЏ б»Џ÷ «бд«” ж еж Ё«б”ћдњ,surprise
"г« ‘ бб «««««««««««««««—нќ ° «б»«‘гедѕ” ѕнб»ж —ж нЁж“ »гћгжЏ нд бж«Ќѕ Ён ж«Ќѕе гд «Ё÷б г»«—н«  «б д” Ён «б«жбнг»н«ѕ  Rio2016  tennis",none
maher  «д« »г Ќд ?,fear
: —Ёнё «б”жЅ гЋб «б»Џж÷ б«  Ќ”ш »е «б« »Џѕ «ббш”Џ.  .  г’ЎЁн «бгдЁбжЎн,sadness
«д« г—Џж»е гд «ббн?б «ббн «бд«” ж’б бе ж«ббе,fear
еж гнд «»д «бж”ќе «ббн —ЁЏ Џбг «б”Џжѕне гд »ЏЋе г’— Ён «б«жбнг»н«ѕ њњ Ќѕ Џдѕе гЏбжг«  Џд «бгЏ же ѕе њ,anger
"«»ён «Џ—Ё  ёнг я Џдѕег «б«жб ° ё»б г«  ёжбег Џ‘«д  ќ«Ў—н",sadness
’«— бнб ж ё«г  «бЏ«бг  —жЌ ќ«нЁе «дя гЋб е«бЏ«бг  —жЌ !,fear
 —ян «бЏж«ѕ н”нЅ бб”Џжѕн«  н«ќн «д« г” џ—» «бѕ—»«жне жндег Џде н  «бѕ—»«жне???? е–« ёЏѕ нџбЎ Џбн «ге« яг ????????????,anger
ћг«б «бџдѕж— : еѕЁн г»«—е  «б“г«бя Ён г« ‘ «д»н ’ЌнЌе .. ж ÷—»е ћ“«Ѕ «б“г«бя џн— ’ЌнЌе . ж ÷—»е ћ“«Ѕ «д»н ’ЌнЌе . ж я«д нћ» Ў—ѕ «Ќгѕ Џбн,joy
: ’ж— «бг–»Ќе «бн  Џ—÷ бе« «бг— “ёе жћджѕ ж÷»«Ў  «б”Џжѕне нжг «г” Ён “ЌЁег «бЁ«‘б Џбн  «бЎж«б ж  Ќ—÷   ”бг «б«н«ѕн,anger
ж»џ÷ «бдў— Џд яб ‘нЅ н»ён «бг’—нд «бжЌнѕнд «ббн ‘ гж ж”ќ—ж ж‘џ«бнд  —нёе Џбн б«Џ»нег «бг’—нд Ён «б«жбнг»н«ѕ Ќ н «’«»ег «б«Ќ»«Ў жгЁн‘ ѕЏг бег,sadness
г–»Ќе —«»Џе  —«»Џе  —«»Џе ё’е жЎд  бд  я—г «ге не«д д”«ƒе«,sadness
дћн б—ѕ «бћгнб ббяжн  Џдѕг« «Ќ б ’ѕ«г «бяжн  Ён Џеѕ «бгбя Ёеѕ   Џ—Ёжд «бё’е ябе« Ќё  «бџ“ж  ед« «б”Џжѕне —ѕ  «бћгнб ббяжн ,anger
«д« ќѕ  «бЌ«ћ«  ѕн «г н   едћЌ «“«н     «д« Џ«н‘ бне * ж«Ќѕ ё«Џѕ Ё «г Ќ«д «бгнѕ н—г *,surprise
